system,workflow_pattern,workload,chunks,repetition,reference_outer_runtime_seconds,nextflow_outer_runtime_seconds,workflow_execution_overhead_seconds,workflow_execution_overhead_percent,reference_task_span_seconds,nextflow_task_span_seconds,reference_compute_phase_seconds,nextflow_compute_phase_seconds,reference_start_spread_seconds,nextflow_start_spread_seconds,reference_max_concurrent_compute_tasks,nextflow_max_concurrent_compute_tasks,nextflow_generate_to_preprocess_latency_seconds,reference_generate_to_preprocess_latency_seconds,nextflow_preprocess_to_compute_latency_seconds,reference_preprocess_to_compute_latency_seconds,nextflow_compute_to_postprocess_latency_seconds,reference_compute_to_postprocess_latency_seconds,nextflow_preprocess_to_split_latency_seconds,reference_preprocess_to_split_latency_seconds,nextflow_split_to_first_compute_latency_seconds,reference_split_to_first_compute_latency_seconds,nextflow_last_compute_to_aggregate_latency_seconds,reference_last_compute_to_aggregate_latency_seconds,nextflow_aggregate_to_postprocess_latency_seconds,reference_aggregate_to_postprocess_latency_seconds
nextflow,scatter_gather,short,1,1,3.505707103,7.176457476,3.670750373,104.707845,3.447245949,3.827362702,3.251769822,3.265506386,0.000000000,0.000000000,1,1,0.119909273,0.032580263,,,,,0.097294223,0.031140068,0.114813733,0.035480555,0.118812069,0.055468321,0.102170183,0.030515549
nextflow,scatter_gather,short,1,2,3.453713448,7.141554158,3.687840710,106.779001,3.397375535,3.826130634,3.198385210,3.276289648,0.000000000,0.000000000,1,1,0.117516167,0.033010763,,,,,0.099720714,0.036351056,0.103586212,0.032467609,0.116810422,0.055448417,0.103116879,0.031250767
nextflow,scatter_gather,short,1,3,3.483332517,7.142884631,3.659552114,105.058937,3.427438374,3.832151010,3.231224235,3.282730328,0.000000000,0.000000000,1,1,0.113517971,0.032297406,,,,,0.103008486,0.035087839,0.107294008,0.032770998,0.131943390,0.055721844,0.084485080,0.030469663
nextflow,scatter_gather,short,1,4,3.455496632,7.100017328,3.644520696,105.470243,3.400471663,3.760366822,3.202701463,3.218826245,0.000000000,0.000000000,1,1,0.124139900,0.032441698,,,,,0.100837334,0.035448778,0.106832777,0.033400197,0.114902712,0.055406302,0.085104780,0.030923910
nextflow,scatter_gather,short,1,5,3.576426424,7.081818903,3.505392479,98.013829,3.521403689,3.737518021,3.325072356,3.188263770,0.000000000,0.000000000,1,1,0.115995656,0.032308790,,,,,0.100472554,0.031274512,0.104046604,0.036938629,0.113239724,0.055447928,0.106087153,0.030673600
nextflow,scatter_gather,short,2,1,1.870635612,5.602605043,3.731969431,199.502747,1.814501704,2.226419992,1.616824742,1.674741833,0.000490634,0.004727407,2,2,0.126427827,0.033155544,,,,,0.101854571,0.034791643,0.114778325,0.032214016,0.115266584,0.054816773,0.082776626,0.030792400
nextflow,scatter_gather,short,2,2,1.869500135,5.881031842,4.011531707,214.577770,1.813079110,2.519099831,1.615445589,1.976007942,0.000964646,0.004906201,2,2,0.121019120,0.037078172,,,,,0.103423971,0.031305243,0.105517529,0.031278773,0.118651644,0.055372709,0.083760268,0.030766418
nextflow,scatter_gather,short,2,3,1.898944600,5.543217446,3.644272846,191.910435,1.840599243,2.211046980,1.643457472,1.676486324,0.000687516,0.009620896,2,2,0.119511808,0.032686281,,,,,0.104442534,0.031706829,0.101008655,0.031536557,0.116622061,0.056903277,0.081291035,0.031515325
nextflow,scatter_gather,short,2,4,1.924767872,5.510565387,3.585797515,186.297660,1.869175583,2.171058109,1.656219404,1.620428474,0.000391738,0.007947433,2,2,0.115375327,0.036464059,,,,,0.099313541,0.031360138,0.105220774,0.031029860,0.133506156,0.067174604,0.085089205,0.034468069
nextflow,scatter_gather,short,2,5,1.913077094,5.488757422,3.575680328,186.907278,1.853551841,2.163296174,1.658433578,1.616033162,0.000967510,0.006703492,2,2,0.121160618,0.033096039,,,,,0.107222212,0.031311878,0.109563217,0.030943326,0.114402160,0.057128864,0.084576292,0.030577638
nextflow,scatter_gather,short,4,1,1.080229684,4.791966206,3.711736522,343.606233,1.023816062,1.428725583,0.823979332,0.859316992,0.000350114,0.036699144,4,4,0.120558797,0.036590401,,,,,0.103003388,0.032165756,0.110616282,0.033062865,0.137167019,0.050050605,0.082013472,0.031606608
nextflow,scatter_gather,short,4,2,1.088803452,4.718113044,3.629309592,333.330096,1.028258726,1.391608510,0.829617957,0.848490220,0.000827897,0.020517232,4,4,0.120119775,0.034599580,,,,,0.104591156,0.032045210,0.104058827,0.032711354,0.116932365,0.051384779,0.083364269,0.031639713
nextflow,scatter_gather,short,4,3,1.078961788,4.764547135,3.685585347,341.586272,1.023123936,1.428585970,0.822938489,0.847506507,0.000597980,0.023829448,4,4,0.126214951,0.035128905,,,,,0.105864221,0.033690178,0.106183185,0.031904201,0.140558924,0.049172004,0.085895382,0.034086178
nextflow,scatter_gather,short,4,4,1.070636234,4.762351887,3.691715653,344.815124,1.010033262,1.385334121,0.813372488,0.838035629,0.001392353,0.020694139,4,4,0.120771322,0.033875606,,,,,0.100706802,0.031721566,0.114318421,0.031589078,0.114437221,0.052172588,0.083816980,0.031368589
nextflow,scatter_gather,short,4,5,1.082169878,4.814733250,3.732563372,344.914736,1.026581919,1.385992119,0.827984736,0.825202740,0.000698341,0.018183837,4,4,0.121745387,0.036498630,,,,,0.100356679,0.031565401,0.109526681,0.032189991,0.131477400,0.048505365,0.082948289,0.034521005
nextflow,scatter_gather,medium,1,1,41.862489908,46.419448623,4.556958715,10.885542,41.802572851,43.237126592,41.581055564,42.641443901,0.000000000,0.000000000,1,1,0.123659104,0.032837695,,,,,0.104475630,0.031423552,0.125474973,0.032873593,0.147693593,0.082190372,0.084395600,0.031520072
nextflow,scatter_gather,medium,1,2,42.914873641,46.967871511,4.052997870,9.444273,42.858310569,43.546838927,42.639570901,42.958440034,0.000000000,0.000000000,1,1,0.125390294,0.032678245,,,,,0.104211115,0.031216261,0.116618180,0.032608194,0.145749886,0.080834945,0.087278277,0.031175118
nextflow,scatter_gather,medium,1,3,42.057494069,46.856079844,4.798585775,11.409586,42.000692151,43.528927199,41.769728565,42.933990867,0.000000000,0.000000000,1,1,0.118821523,0.037144927,,,,,0.102299770,0.031180287,0.103808058,0.039193437,0.150367027,0.082121834,0.110472400,0.031078596
